product_title,product_image,pack_size,price_per_unit,price
Power Force Active Gel Discs Toilet Gel Discs 75ml,https://www.aldi.com.au/fileadmin/_processed_/3/1/csm_ALN3401-18_REDUCTIONS_FUTURE-PRICE-_RND18__1x1_228x128__ba0292357f.jpg,ea,$6.39 per 100ml,4.79
Ocean Royale Atlantic Salmon Portions 1kg,https://www.aldi.com.au/fileadmin/_processed_/2/a/csm_ALN3401-18_REDUCTIONS_FUTURE-PRICE-_RND18__1x1_228x128_2_7462dd41af.jpg,1kg,$22.99 per kg,22.99
Ocean Royale Raw Prawn Cutlets 500g,https://www.aldi.com.au/fileadmin/_processed_/9/7/csm_ALN3401-18_REDUCTIONS_FUTURE-PRICE-_RND18__1x1_228x128_3_286fc2bf76.jpg,500g,$25.98 per kg,12.99
Farmdale Lactose Free Milk 1L,https://www.aldi.com.au/fileadmin/_processed_/1/a/csm_ALN3401-18_REDUCTIONS_FUTURE-PRICE-_RND18__1x1_228x128_4_8848e3e645.jpg,1L,$1.49 per Litre,1.49
Farmdale Condensed Milk 397g,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALN3401-18_REDUCTIONS_FUTURE-PRICE-_RND18__1x1_228x128_5_4cc2b1af7f.jpg,397g,35c per 100g,1.39
The Cake Stall Muffins 480g/4pk,https://www.aldi.com.au/fileadmin/_processed_/6/e/csm_ALN3401-17_REDUCTIONS_FUTURE-PRICE-_RND17__1x1_228x128__e855728952.jpg,4pk,60c per 100g,2.89
The Cake Stall Muffins 480g/4pk,https://www.aldi.com.au/fileadmin/_processed_/2/e/csm_ALN3401-17_REDUCTIONS_FUTURE-PRICE-_RND17__1x1_228x128_2_2d2c0b35b4.jpg,4pk,60c per 100g,2.89
Willowton Free Range Chicken Breast Fillets 1kg,https://www.aldi.com.au/fileadmin/_processed_/c/3/csm_ALN3401-17_REDUCTIONS_FUTURE-PRICE-_RND17__1x1_228x128_3_2e67c2639a.jpg,1kg,$11.49 per kg,11.49
"Ready, Set…Cook! Boneless Butterflied Chicken 1kg",https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALN3401-17_REDUCTIONS_FUTURE-PRICE-_RND17__1x1_228x128_4_2d50c3a8b2.jpg,ea,$9.49 per kg,9.49
Emporium Selection Dutch Cheese 230g/265g,https://www.aldi.com.au/fileadmin/_processed_/f/0/csm_ALN3401-16_REDUCTIONS_FUTURE-PRICE-_RND16__1x1_228x128__93121141c1.jpg,ea,$13.00/$11.28  per kg,2.99
Emporium Selection Dutch Cheese 200g/260g,https://www.aldi.com.au/fileadmin/_processed_/8/a/csm_ALN3401-16_REDUCTIONS_FUTURE-PRICE-_RND16__1x1_228x128_2_e4d5f41776.jpg,ea,$14.95/$11.50 per kg,2.99
Ocean Royale Barramundi Portions 1kg,https://www.aldi.com.au/fileadmin/_processed_/9/2/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128__0f23490e2c.jpg,per kg,$17.99 per kg,17.99
Ocean Rise Premium Red Salmon 210g,https://www.aldi.com.au/fileadmin/_processed_/c/3/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_2_29b7a71ba5.jpg,210g,$23.76 per kg,4.99
SAN-I-PET Cat Litter Clumping 10kg,https://www.aldi.com.au/fileadmin/_processed_/e/a/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_4_8bf9c807b3.jpg,10kg,56c per kg,5.59
Farmdale Lactose Free Milk 1L,https://www.aldi.com.au/fileadmin/_processed_/4/1/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_7_48bed16dbb.jpg,1L,$1.49 per Litre,1.49
Westacre Spreadable Cream Cheese 250g,https://www.aldi.com.au/fileadmin/_processed_/1/5/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_8_c1e56beff5.jpg,250g,$9.56 per kg,2.39
Emporium Selection Brie Cheese 125g,https://www.aldi.com.au/fileadmin/_processed_/6/f/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_9_733ed5336b.jpg,125g,$21.52 per kg,2.69
Remano Italian Diced Tomatoes 400g,https://www.aldi.com.au/fileadmin/_processed_/0/d/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_10_62654eb9a9.jpg,400g,$2.48 per kg,0.99
Power Force Multi Purpose Sponge Scourer 5pk,https://www.aldi.com.au/fileadmin/_processed_/a/5/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_11_9cd91226f5.jpg,5pk,38c per unit,1.89
